source_and_target,lat,long,city,country
192.168.0.1-157.92.47.53,-34.58881517251069,-58.420968605233796,Buenos Aires,Argentina
181.89.51.39-157.92.47.53,-41.1304,-71.2936,Bariloche,Argentina
170.51.254.140-157.92.47.53,-34.6142,-58.3811,Buenos Aires,Argentina
170.51.254.171-157.92.47.53,-34.6142,-58.3811,Buenos Aires,Argentina
157.92.47.53-157.92.47.53,-34.6022,-58.3845,,Argentina
192.168.0.1-142.251.134.78,-34.58881517251069,-58.420968605233796,Buenos Aires,Argentina
181.89.51.39-142.251.134.78,-41.1304,-71.2936,Bariloche,Argentina
72.14.194.198-142.251.134.78,37.751,-97.822,,United States
142.250.62.83-142.251.134.78,37.751,-97.822,,United States
142.251.239.191-142.251.134.78,37.751,-97.822,,United States
142.251.134.78-142.251.134.78,37.751,-97.822,,United States
